District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Anantapur,73.3,0.0,34.8,59.5,52.5,49.8
Chittoor,71.9,0.0,24.1,44.5,41.0,36.0
East Godavari,46.4,0.1,24.6,65.6,51.3,42.5
Guntur,66.5,0.6,23.7,64.3,54.8,56.0
Krishna,42.2,0.2,25.6,60.3,48.7,40.1
Kurnool,59.9,0.4,19.9,45.1,38.8,35.3
Prakasam,65.4,0.1,24.1,53.3,48.0,31.6
Srikakulam,71.6,0.0,43.1,81.7,63.7,70.7
"Sri Potti Sriramulu
Nellore",63.3,0.1,27.4,52.0,47.7,33.9
Visakhapatnam,59.2,0.0,28.1,71.7,52.5,56.6
Vizianagaram,71.4,0.0,27.3,48.7,50.5,44.9
West Godavari,53.9,0.0,26.9,52.9,51.9,41.6
Y.S.R.,60.8,0.0,22.8,53.5,43.5,41.4
Andhra Pradesh,61.8,0.1,27.2,58.9,50.3,45.2
