District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Anjaw,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Changlang,49.9,1.1,22.7,53.2,64.8,45.5
East Kameng,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
East Siang,58.5,1.8,36.5,59.5,77.3,48.8
Lohit,68.8,5.6,13.3,44.4,48.5,25.2
Lower Dibang Valley,60.2,3.8,30.5,64.9,50.4,38.3
Lower Subansiri,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Papum Pare,53.2,2.1,38.3,53.2,73.0,44.0
Tirap,63.7,1.7,24.6,50.3,,
Upper Subansiri,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
West Kameng,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
West Siang,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Arunachal Pradesh,56.3,2.8,26.8,52.6,64.3,41.9
