District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Baksa,70.7,0.5,31.5,45.6,61.7,10.6
Barpeta,70.9,0.3,23.1,48.1,56.6,36.1
Bongaigaon,71.0,1.4,27.5,43.6,65.0,28.3
Cachar,67.2,0.1,37.7,42.8,59.9,25.4
Chirang,66.5,0.9,19.5,39.9,57.1,26.1
Darrang,60.6,2.3,24.8,26.7,59.1,17.8
Dhemaji,76.2,0.7,45.5,48.2,66.3,27.2
Dhubri,79.4,0.8,22.4,42.6,51.7,32.0
Dibrugarh,65.7,1.9,37.9,40.5,58.5,17.1
Dima Hasao,61.2,0.7,18.6,49.8,55.5,29.2
Goalpara,69.3,0.4,35.9,41.8,62.5,23.4
Golaghat,64.2,0.4,41.1,46.5,65.4,30.0
Hailakandi,71.8,1.5,25.4,28.0,56.3,22.1
Jorhat,80.2,0.5,35.5,43.4,65.6,32.6
Kamrup,59.1,0.6,40.1,51.3,67.8,23.4
Karbi Anglong,52.2,1.9,20.9,29.1,54.4,25.9
Kokrajhar,74.0,1.0,19.2,26.7,45.1,21.0
Lakhimpur,74.6,1.3,40.2,42.3,67.4,18.5
Morigaon,74.8,1.1,34.3,44.4,66.8,21.9
Nagaon,62.8,0.6,20.8,25.7,54.9,13.8
Nalbari,75.9,0.0,28.9,52.2,60.1,37.2
Sivasagar,80.4,1.0,44.6,53.4,73.5,36.3
Sonitpur,67.8,2.4,16.8,28.3,47.4,16.8
Sribhumi,73.5,0.3,30.4,45.1,60.6,33.4
Tinsukia,73.5,1.1,23.5,35.0,56.3,23.0
Udalguri,56.0,1.2,35.1,40.1,64.5,25.5
Assam,69.9,0.9,29.0,40.1,58.9,25.4
