District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Araria,76.8,9.0,20.8,35.8,60.8,50.2
Arwal,85.0,0.9,48.5,51.3,73.7,57.5
Aurangabad,71.4,1.4,61.7,75.9,78.1,75.4
Banka,80.7,4.1,29.2,46.3,62.2,62.2
Begusarai,86.3,1.2,27.6,38.8,63.5,49.8
Bhagalpur,77.5,5.0,44.1,55.1,69.8,63.2
Bhojpur,72.0,1.5,34.7,51.3,67.7,58.1
Buxar,78.2,1.4,38.4,54.1,67.3,50.4
Darbhanga,79.7,2.8,47.5,51.2,66.3,52.2
East Champaran,80.3,2.3,25.3,39.9,51.8,46.7
Gaya,74.9,0.9,48.6,64.9,73.7,64.8
Gopalganj,60.7,1.2,40.2,48.4,70.0,56.6
Jamui,83.3,3.4,33.4,41.5,50.1,38.8
Jehanabad,73.0,0.9,51.7,65.1,80.6,69.8
Kaimur,78.6,3.6,50.3,50.3,69.5,50.3
Katihar,87.2,5.0,27.8,45.0,55.4,52.7
Khagaria,83.4,2.7,37.7,51.6,73.3,59.9
Kishanganj,78.5,3.8,25.6,29.6,57.6,38.5
Lakhisarai,82.0,3.6,41.6,61.1,74.2,65.4
Madhepura,88.9,6.1,24.0,44.4,68.3,62.8
Madhubani,82.9,4.5,34.1,40.9,63.2,57.7
Munger,79.5,2.4,39.2,55.1,71.1,58.8
Muzaffarpur,84.6,1.6,27.6,40.0,59.5,49.0
Nalanda,74.9,1.7,46.7,59.3,69.7,61.0
Nawada,76.6,2.8,40.1,61.7,70.3,66.6
Patna,71.7,3.6,42.8,55.6,68.1,59.2
Purnia,86.9,3.1,27.0,40.1,57.0,46.9
Rohtas,79.7,0.8,54.1,66.5,77.8,62.7
Saharsa,86.8,2.6,37.8,54.7,71.5,64.4
Samastipur,79.2,1.6,40.2,52.6,65.7,61.6
Saran,83.5,0.2,38.2,51.8,67.4,60.4
Sheikhpura,88.8,0.9,35.1,56.0,63.5,62.8
Sheohar,85.1,3.9,37.7,40.5,68.9,59.2
Sitamarhi,83.0,4.2,26.2,36.8,57.1,48.2
Siwan,57.9,1.3,42.1,59.9,72.4,59.7
Supaul,87.9,4.4,32.1,42.3,66.7,54.6
Vaishali,74.5,1.6,34.0,43.7,62.9,55.0
West Champaran,81.5,4.2,38.1,41.8,68.7,53.8
Bihar,80.1,3.0,35.7,47.8,65.1,55.8
