District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Ahmedabad,77.5,1.7,42.7,28.9,66.2,21.2
Amreli,96.3,0.3,45.8,40.9,78.8,44.9
Anand,82.9,0.7,41.8,28.8,66.7,16.2
Banaskantha,85.7,1.0,48.5,32.2,79.4,32.9
Bharuch,87.6,1.1,40.8,33.4,66.4,28.0
Bhavnagar,93.7,0.8,40.7,37.2,64.5,26.9
Dahod,88.5,0.4,26.0,12.9,56.2,19.2
Gandhinagar,88.5,0.2,35.0,25.4,69.4,25.1
Jamnagar,95.6,0.2,37.2,30.6,66.0,25.1
Junagadh,85.7,0.0,33.0,32.3,62.3,22.4
Kachchh,88.8,4.6,27.0,17.3,56.8,14.3
Kheda,93.5,0.2,32.0,22.9,65.9,16.0
Mahesana,85.6,0.6,42.4,36.0,75.1,28.5
Narmada,93.5,0.3,25.2,15.7,59.0,6.0
Navsari,84.6,0.0,46.0,47.7,81.7,39.8
Panchmahal,91.4,2.1,23.0,17.1,58.1,17.7
Patan,89.3,1.0,50.8,37.6,78.1,33.1
Porbandar,82.5,0.6,47.2,44.6,73.2,27.8
Rajkot,67.0,0.9,54.0,43.6,81.8,44.3
Sabarkantha,87.0,0.6,45.3,32.0,65.7,30.1
Surat,72.8,1.8,43.9,26.6,68.4,25.2
Surendranagar,95.4,1.1,31.9,24.3,62.6,17.2
Tapi,94.4,0.6,36.0,29.6,64.2,21.5
The Dangs,96.6,0.8,20.0,12.7,58.7,8.6
Vadodara,77.9,1.0,39.6,23.6,66.6,10.4
Valsad,87.5,1.0,20.8,24.1,51.0,20.8
Gujarat,86.5,1.0,38.1,29.1,67.6,25.1
