District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Ambala,40.1,0.8,67.3,70.1,83.6,61.4
Bhiwani,47.9,0.2,64.4,75.8,80.6,61.0
Faridabad,24.8,3.2,48.2,52.7,68.8,52.9
Fatehabad,64.4,0.4,49.1,61.9,79.7,56.4
Gurugram,38.1,2.3,61.1,62.9,82.8,56.6
Hisar,35.8,0.3,58.1,64.5,82.7,57.0
Jhajjar,34.6,0.4,62.8,77.3,82.7,68.4
Jind,48.2,0.0,47.2,61.1,77.5,51.6
Kaithal,51.1,0.4,61.0,65.5,72.3,44.2
Karnal,43.5,1.6,48.1,51.2,71.2,42.9
Kurukshetra,39.2,0.1,69.2,61.4,82.7,51.7
Mahendragarh,30.9,0.4,67.4,74.8,80.9,58.7
Nuh,68.3,5.7,28.0,30.3,57.5,19.7
Palwal,38.7,2.5,57.9,57.8,77.1,50.3
Panchkula,61.7,0.9,60.3,62.3,78.6,55.9
Panipat,38.5,0.4,53.6,64.0,67.9,49.4
Rewari,45.1,0.3,59.7,74.6,86.8,70.7
Rohtak,42.1,0.1,53.4,65.3,74.3,47.4
Sirsa,55.4,0.3,50.4,54.6,73.0,51.5
Sonipat,26.2,0.2,73.6,73.5,88.0,65.2
Yamunanagar,47.8,0.4,55.3,52.8,76.3,38.0
Haryana,46.0,1.3,54.4,60.7,76.2,51.0
