District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Bokaro,68.4,0.3,37.5,52.6,64.6,46.2
Chatra,79.7,0.2,32.2,58.8,62.5,58.8
Deoghar,89.0,1.0,28.4,39.4,51.5,33.0
Dhanbad,77.6,0.6,33.2,42.3,59.6,48.2
Dumka,81.2,3.5,31.0,46.8,58.0,42.4
East Singhbhum,84.0,1.8,38.8,50.0,63.6,42.8
Garhwa,80.8,2.0,27.1,38.5,59.5,39.0
Giridih,82.8,1.4,30.7,54.8,72.3,52.9
Godda,80.0,2.1,21.5,39.7,54.0,47.6
Gumla,62.4,1.6,38.1,32.7,59.3,20.3
Hazaribagh,52.0,0.2,54.4,62.6,83.9,63.1
Jamtara,93.5,1.0,25.9,27.8,63.0,43.4
Khunti,71.4,2.6,33.8,31.9,68.3,23.7
Koderma,62.1,0.5,48.2,60.6,75.8,69.5
Latehar,85.4,1.1,33.0,32.4,59.7,35.2
Lohardaga,85.4,0.2,25.7,46.7,63.5,37.4
Pakur,91.7,2.4,19.1,30.6,50.0,32.3
Palamu,88.9,0.3,27.1,36.4,53.9,41.8
Ramgarh,58.9,0.4,36.9,52.7,70.3,50.3
Ranchi,60.5,0.0,42.3,49.5,62.5,37.7
Sahibganj,82.5,5.3,20.8,31.3,39.8,32.6
Saraikela-Kharsawan,81.8,1.8,29.6,44.0,47.6,36.8
Simdega,64.3,1.7,29.7,24.4,61.9,21.8
West Singhbhum,85.6,4.0,22.4,31.0,42.0,21.7
Jharkhand,77.4,1.5,32.0,43.8,61.1,43.1
