District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Anantnag,55.1,1.8,36.1,52.7,55.9,28.8
Badgam,54.9,1.2,24.7,55.2,45.7,34.8
Bandipore,63.8,0.4,29.3,54.3,57.1,47.8
Baramula,46.1,0.6,35.6,61.7,65.4,35.9
Doda,73.2,0.3,26.7,40.9,43.4,27.5
Ganderbal,34.1,0.2,47.0,65.7,62.7,40.1
Jammu,41.0,0.0,36.3,53.2,66.1,42.4
Kathua,57.8,0.3,22.6,43.2,47.6,24.6
Kishtwar,74.3,1.2,14.1,34.4,39.2,17.1
Kulgam,57.3,0.6,38.0,60.6,69.9,45.2
Kupwara,57.9,0.3,26.6,47.4,48.7,38.2
Pulwama,38.5,0.0,43.7,66.7,74.3,41.1
Punch,71.0,1.3,20.3,32.0,31.6,17.3
Rajouri,54.5,0.4,18.5,24.9,40.0,14.8
Ramban,72.2,0.6,17.1,37.2,44.1,32.4
Reasi,80.3,0.0,16.4,30.6,43.4,29.1
Samba,36.0,0.6,33.7,56.7,49.9,39.3
Shupiyan,43.5,1.0,27.1,66.2,60.0,36.3
Udhampur,71.4,1.2,13.2,32.2,41.3,29.0
Jammu & Kashmir,57.2,0.6,26.8,46.0,50.5,31.3
