District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Alappuzha,34.8,0.2,65.0,48.4,81.9,45.1
Ernakulam,20.6,0.1,50.1,57.2,80.2,41.0
Idukki,26.4,0.2,41.1,44.7,69.4,36.3
Kannur,30.6,0.0,74.7,49.0,87.0,44.7
Kasaragod,67.1,0.0,56.2,49.1,76.5,23.1
Kollam,50.2,0.0,53.7,47.5,78.9,50.8
Kottayam,26.7,0.0,47.9,50.9,72.6,32.5
Kozhikode,36.9,0.2,57.1,49.4,80.9,36.9
Malappuram,60.3,0.2,62.3,40.5,74.5,21.7
Palakkad,54.9,0.0,58.4,46.4,75.9,36.8
Pathanamthitta,37.8,0.0,58.0,46.3,84.7,41.0
Thiruvananthapuram,50.9,0.0,61.3,59.7,83.7,53.8
Thrissur,32.0,0.0,63.8,45.9,80.2,42.0
Wayanad,56.9,0.1,51.4,42.1,73.7,19.8
Kerala,44.5,0.1,56.7,47.6,77.6,36.5
