District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Ahmadnagar,42.3,0.9,64.1,47.9,79.4,30.5
Akola,52.5,0.0,33.6,45.6,48.4,25.9
Amravati,60.9,0.0,23.3,32.9,49.3,22.4
Aurangabad,65.0,0.2,55.0,44.0,73.7,37.7
Bhandara,71.0,0.2,34.5,43.3,47.6,22.0
Bid,52.7,0.0,45.6,41.9,70.9,32.1
Buldana,68.7,0.0,45.9,33.9,61.9,36.1
Chandrapur,72.1,0.0,51.2,48.4,67.6,36.2
Dhule,68.6,0.8,41.4,23.7,54.7,14.2
Gadchiroli,81.5,0.1,36.3,38.2,57.9,38.8
Gondiya,75.5,0.0,50.3,44.2,75.3,52.1
Hingoli,83.4,0.3,43.6,52.6,68.6,42.1
Jalgaon,41.6,0.7,28.7,40.5,45.2,25.5
Jalna,51.4,0.2,50.3,54.1,73.3,42.5
Kolhapur,59.4,0.0,60.2,50.0,80.1,44.5
Latur,55.6,0.2,47.1,37.8,65.6,32.4
Nagpur,48.2,0.0,42.5,56.0,73.8,41.7
Nanded,61.7,0.4,33.4,43.2,63.9,44.9
Nandurbar,65.0,0.5,26.6,16.7,49.3,17.2
Nashik,68.8,0.5,45.7,32.3,59.6,16.4
Osmanabad,63.9,0.4,61.8,46.3,83.8,48.0
Parbhani,79.9,0.0,60.3,52.3,83.8,34.2
Pune,57.5,1.0,76.3,57.6,87.1,41.5
Raigarh,50.0,2.3,45.6,45.6,72.8,33.6
Ratnagiri,61.1,0.0,66.3,67.3,84.7,45.6
Sangli,65.9,0.0,57.2,58.1,68.0,32.1
Satara,60.0,0.2,79.3,84.7,90.4,63.5
Sindhudurg,77.2,0.0,81.0,71.6,91.5,51.8
Solapur,52.0,0.3,55.3,48.7,77.3,36.9
Thane,84.1,0.2,43.8,41.3,73.1,41.4
Wardha,52.3,0.0,48.4,53.3,75.7,47.4
Washim,52.1,0.0,50.5,33.6,69.1,30.8
Yavatmal,62.1,0.3,37.9,31.7,52.3,23.0
Maharashtra,60.9,0.4,50.3,46.2,69.4,35.4
