District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Alirajpur,78.2,14.5,16.0,9.8,53.8,12.3
Anuppur,66.4,4.3,38.4,29.9,69.8,32.1
Ashoknagar,71.2,4.0,30.5,25.0,60.3,35.6
Balaghat,77.8,1.6,43.1,38.1,70.2,40.6
Barwani,74.6,8.8,23.2,17.3,59.5,14.5
Betul,76.1,0.7,52.7,34.2,78.5,33.8
Bhind,74.0,1.2,32.9,41.5,70.4,53.6
Bhopal,36.8,2.8,35.4,40.0,65.1,36.7
Burhanpur,74.8,3.5,15.6,18.3,39.1,12.6
Chhatarpur,85.2,2.2,34.8,46.3,64.2,52.9
Chhindwara,75.0,1.2,27.8,25.7,57.9,27.9
Damoh,75.8,1.1,28.0,20.6,52.2,22.2
Datia,82.4,2.7,33.2,39.1,63.6,50.8
Dewas,48.8,0.2,35.4,35.9,66.2,26.2
Dhar,55.6,6.8,24.0,23.9,63.9,29.8
Dindori,84.7,1.3,40.2,17.1,60.6,17.9
Guna,64.7,7.7,23.8,27.9,52.0,29.8
Gwalior,70.5,4.8,28.9,35.6,49.7,35.9
Harda,70.2,1.4,24.7,25.6,57.8,27.2
Hoshangabad,67.1,0.7,35.6,40.5,50.6,31.7
Indore,41.6,2.0,39.2,39.6,66.3,33.6
Jabalpur,69.3,1.6,36.2,31.9,58.2,32.0
Jhabua,72.9,9.2,21.7,16.2,55.8,16.1
Katni,73.3,0.5,36.8,42.8,55.8,39.3
Khandwa,66.2,0.5,31.3,20.6,56.5,16.7
Khargone,64.8,1.9,36.6,27.4,67.4,30.1
Mandla,83.5,1.1,45.2,34.0,75.7,38.8
Mandsaur,48.0,0.9,47.2,40.5,69.9,38.7
Morena,71.1,2.2,33.7,38.1,54.1,46.5
Narsimhapur,59.9,0.8,33.6,29.7,62.3,33.8
Neemuch,56.4,5.0,39.7,33.0,72.7,39.4
Panna,68.3,1.4,24.2,25.6,49.7,29.0
Raisen,61.5,1.1,31.6,33.7,58.7,31.1
Rajgarh,54.8,2.1,20.4,17.0,53.7,27.3
Ratlam,61.3,2.0,21.4,20.1,58.9,15.5
Rewa,52.4,1.7,42.9,41.3,62.5,40.5
Sagar,68.7,2.2,22.3,22.0,42.2,22.8
Satna,67.7,1.6,30.3,27.7,61.0,33.1
Sehore,55.5,2.5,28.6,28.2,63.8,31.1
Seoni,72.5,0.0,35.2,34.1,63.8,29.3
Shahdol,73.5,1.0,28.8,29.8,53.1,30.6
Shajapur,46.1,0.8,44.2,32.1,80.8,36.9
Sheopur,72.0,5.8,23.8,20.8,50.9,32.8
Shivpuri,71.4,3.4,21.6,28.0,44.5,32.1
Sidhi,66.7,1.0,25.7,20.6,52.5,25.2
Singrauli,69.7,3.5,24.0,22.5,45.4,17.5
Tikamgarh,86.3,1.3,19.2,24.6,54.8,46.1
Ujjain,43.7,1.1,39.3,28.6,65.8,24.1
Umaria,67.8,1.7,27.2,31.1,60.2,37.8
Vidisha,66.9,2.6,31.9,26.2,53.8,24.7
Madhya Pradesh,66.9,2.5,31.8,29.7,59.7,31.9
