District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Dimapur,39.1,2.2,37.9,49.8,71.7,31.6
Kiphire,69.1,3.3,20.3,26.5,-2.0,-2.0
Kohima,32.5,0.7,44.8,49.5,85.2,45.3
Longleng,31.1,0.5,43.9,58.9,60.8,23.9
Mokokchung,54.3,1.0,50.6,77.0,77.6,42.9
Mon,54.5,1.2,25.7,50.2,48.8,17.0
Peren,43.2,1.9,31.3,59.6,78.4,36.1
Phek,37.5,0.3,39.5,48.0,73.4,25.6
Tuensang,57.5,1.1,12.4,23.4,54.0,7.5
Wokha,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Zunheboto,36.7,3.1,57.0,78.2,82.6,46.9
Nagaland,45.6,1.4,34.1,50.3,67.6,28.0
