District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Ajmer,66.9,1.7,32.5,27.1,62.6,27.6
Alwar,47.2,2.0,32.1,38.4,67.7,41.1
Banswara,77.8,2.3,18.7,11.9,38.1,8.1
Baran,72.7,2.9,36.8,34.8,66.1,33.4
Barmer,77.0,4.5,19.8,10.8,62.8,9.2
Bharatpur,51.0,2.6,33.1,33.9,70.2,37.2
Bhilwara,60.8,2.6,41.7,33.5,68.9,34.5
Bikaner,46.7,3.2,31.1,30.4,59.0,24.6
Bundi,75.6,0.9,41.5,30.5,66.6,25.9
Chittaurgarh,61.0,2.1,38.1,34.9,58.1,22.1
Churu,49.2,0.6,45.9,51.6,80.3,47.5
Dausa,51.5,0.3,36.9,37.1,72.8,35.3
Dhaulpur,51.5,2.7,25.9,36.3,57.8,32.6
Dungarpur,78.3,1.1,25.9,27.9,42.3,13.6
Ganganagar,63.2,1.0,47.5,51.7,72.9,43.5
Hanumangarh,47.5,1.2,42.9,49.6,70.9,46.1
Jaipur,25.6,0.3,53.4,57.2,81.4,51.9
Jaisalmer,62.2,9.8,25.3,20.5,59.8,17.6
Jalor,70.4,2.2,12.9,16.1,45.1,20.9
Jhalawar,77.1,1.2,27.1,17.7,56.1,23.6
Jhunjhunun,45.3,1.5,42.9,50.2,74.1,43.8
Jodhpur,54.3,1.7,31.2,32.8,60.5,35.5
Karauli,50.5,2.5,28.8,39.1,58.3,37.2
Kota,66.2,3.2,24.0,30.9,56.0,30.6
Nagaur,48.2,3.1,27.6,30.6,57.1,24.1
Pali,70.7,3.1,25.3,18.7,58.4,25.9
Pratapgarh,81.6,3.0,24.5,21.4,52.2,19.5
Rajsamand,74.9,2.8,31.2,26.5,45.9,15.3
Sawai Madhopur,58.0,1.1,44.3,41.8,72.8,32.5
Sikar,46.4,0.9,33.4,41.4,67.9,31.5
Sirohi,66.6,4.5,25.3,23.1,48.6,20.5
Tonk,63.9,0.4,58.8,37.6,81.3,40.0
Udaipur,70.7,3.2,25.3,16.3,57.5,16.0
Rajasthan,59.3,2.2,33.1,32.2,62.3,29.5
