District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Adilabad,73.8,1.5,16.5,47.6,50.2,37.3
Karimnagar,51.6,0.0,16.1,49.5,45.2,35.7
Khammam,70.4,0.9,20.7,39.8,45.7,23.9
Mahbubnagar,59.6,0.7,20.7,50.7,51.3,39.5
Medak,65.8,0.0,9.9,45.9,32.8,21.9
Nalgonda,57.9,0.0,20.0,51.7,47.3,31.8
Nizamabad,47.9,0.2,16.1,57.7,44.6,36.2
Rangareddy,57.7,1.0,20.9,46.8,51.3,37.3
Warangal,53.0,0.0,17.1,50.5,44.3,44.0
Telangana,59.8,0.5,18.0,49.0,46.4,34.7
