District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Ariyalur,71.5,0.0,40.8,50.4,70.1,34.1
Coimbatore,76.0,0.0,30.6,49.8,65.9,45.1
Cuddalore,66.1,0.0,19.1,32.0,61.7,30.2
Dharmapuri,73.9,0.3,12.0,31.0,40.9,21.2
Dindigul,56.1,0.3,24.4,42.3,47.2,25.5
Erode,73.4,0.1,23.8,39.0,55.6,32.0
Kancheepuram,,,,,,
Kanniyakumari,53.5,0.2,32.8,55.7,76.6,41.9
Karur,68.8,0.9,27.4,41.1,67.1,30.6
Krishnagiri,72.3,0.0,28.8,56.2,58.5,47.0
Madurai,76.3,0.1,24.1,50.4,52.6,33.0
Nagapattinam,70.2,0.0,25.2,31.9,52.2,30.0
Namakkal,67.3,0.0,25.2,45.3,52.5,37.8
Perambalur,73.4,0.0,32.4,39.1,58.2,32.1
Pudukkottai,82.1,0.0,32.5,49.3,70.1,45.9
Ramanathapuram,51.6,0.0,39.2,59.4,67.6,52.2
Salem,69.9,0.3,14.7,28.7,47.9,24.3
Sivaganga,63.0,0.3,30.5,58.6,66.1,29.7
Thanjavur,81.5,0.0,13.9,34.8,41.3,22.9
Theni,62.4,0.1,25.3,45.0,49.8,30.8
The Nilgiris,45.9,0.1,26.2,42.2,46.6,33.8
Thiruvallur,64.6,0.5,22.4,40.9,46.7,24.0
Thiruvarur,61.0,0.5,18.1,39.9,55.6,34.6
Tiruchirappalli,59.4,0.1,36.7,57.0,54.6,38.0
Tirunelveli,63.7,0.0,22.6,38.3,68.6,39.2
Tiruppur,66.8,0.4,32.2,41.9,66.1,36.5
Tiruvannamalai,78.9,0.3,26.6,36.7,51.0,35.5
Vellore,67.0,0.0,22.6,41.5,53.0,30.4
Viluppuram,67.1,0.0,21.8,38.0,55.2,35.5
Virudhunagar,71.6,0.1,33.4,54.4,59.7,40.3
Tamil Nadu,68.7,0.1,24.6,42.1,55.4,33.4
