District,% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels)
Bankura,95.1,0.1,48.4,54.4,66.7,45.5
Barddhaman,89.0,1.0,51.0,48.0,65.0,33.3
Birbhum,94.2,0.2,33.1,34.4,56.3,27.2
Cooch Behar,89.3,0.8,47.1,51.1,64.7,37.3
Dakshin Dinajpur,92.2,0.4,45.3,46.8,62.2,35.6
Darjiling,51.0,1.2,32.9,46.1,42.6,24.6
Howrah,93.5,0.2,57.3,43.7,82.0,45.4
Hooghly,92.1,0.4,53.0,47.1,76.5,40.4
Jalpaiguri,87.0,0.8,39.0,44.1,61.0,25.5
Maldah,79.0,2.7,31.3,43.0,59.0,26.9
Murshidabad,90.4,0.8,44.8,47.0,67.8,27.2
Nadia,92.1,0.4,58.3,49.3,75.6,36.8
North Twenty Four Parganas,93.5,1.0,59.1,49.5,70.4,35.6
Paschim Medinipur,92.5,0.4,50.0,53.0,59.9,27.6
Purba Medinipur,88.8,0.2,68.6,72.4,89.5,54.9
Puruliya,93.0,0.3,41.2,43.9,51.0,29.1
South Twenty Four Parganas,89.4,1.1,38.9,47.6,66.4,34.5
Uttar Dinajpur,85.8,4.6,25.2,22.6,44.2,17.1
West Bengal,89.6,0.9,46.1,47.3,65.6,33.6
